choices	trials	confidence	RfA
6	2	0	1
6	2	0.858105	2
6	3	0	1
6	3	0.645804	2
6	3	0.947598	3
6	4	0	1
6	4	0.295571	2
6	4	0.925656	3
6	4	1	4
6	5	0	1
6	5	0.060918	2
6	5	0.799607	3
6	5	0.979846	4
6	5	1	5
6	6	0	1
6	6	0.0099229999999999	2
6	6	0.497173	3
6	6	0.979412	4
6	6	0.990034	5
6	6	1	6
6	7	0	1
6	7	0	2
6	7	0.347095	3
6	7	0.905664	4
6	7	0.989387	5
6	7	1	6
6	7	1	7
6	8	0	1
6	8	0	2
6	8	0.346378	3
6	8	0.877	4
6	8	0.949261	5
6	8	1	6
6	8	1	7
6	8	1	8
6	9	0	1
6	9	0	2
6	9	0.132375	3
6	9	0.730833	4
6	9	0.959755	5
6	9	0.959384	6
6	9	1	7
6	9	1	8
6	9	1	9
6	10	0	1
6	10	0	2
6	10	0.040729	3
6	10	0.674326	4
6	10	0.880459	5
6	10	1	6
6	10	1	7
6	10	1	8
6	10	1	9
6	10	1	10
7	2	0	1
7	2	0.892562	2
7	3	0	1
7	3	0.526511	2
7	3	0.988934	3
7	4	0	1
7	4	0.274121	2
7	4	0.874466	3
7	4	1	4
7	5	0	1
7	5	0.096877	2
7	5	0.749918	3
7	5	1	4
7	5	1	5
7	6	0	1
7	6	0.0618570000000001	2
7	6	0.689488	3
7	6	0.936627	4
7	6	1	5
7	6	1	6
7	7	0	1
7	7	0	2
7	7	0.515514	3
7	7	0.9496	4
7	7	1	5
7	7	1	6
7	7	1	7
7	8	0	1
7	8	0	2
7	8	0.475874	3
7	8	0.927116	4
7	8	0.980096	5
7	8	1	6
7	8	1	7
7	8	1	8
7	9	0	1
7	9	0	2
7	9	0.289587	3
7	9	0.799791	4
7	9	0.990061	5
7	9	1	6
7	9	1	7
7	9	1	8
7	9	1	9
7	10	0	1
7	10	0	2
7	10	0.158411	3
7	10	0.725061	4
7	10	0.939471	5
7	10	1	6
7	10	1	7
7	10	1	8
7	10	1	9
7	10	1	10
8	2	0	1
8	2	0.890882	2
8	3	0	1
8	3	0.698365	2
8	3	0.978907	3
8	4	0	1
8	4	0.380221	2
8	4	0.936357	3
8	4	1	4
8	5	0	1
8	5	0.269996	2
8	5	0.835501	3
8	5	0.989326	4
8	5	1	5
8	6	0	1
8	6	0.062703	2
8	6	0.720385	3
8	6	0.990181	4
8	6	1	5
8	6	1	6
8	7	0	1
8	7	0.0197889999999999	2
8	7	0.568422	3
8	7	0.948398	4
8	7	1	5
8	7	1	6
8	7	1	7
8	8	0	1
8	8	0.00981300000000007	2
8	8	0.485366	3
8	8	0.925461	4
8	8	0.995734	5
8	8	1	6
8	8	1	7
8	8	1	8
8	9	0	1
8	9	0	2
8	9	0.328743	3
8	9	0.8401	4
8	9	0.97072	5
8	9	1	6
8	9	1	7
8	9	1	8
8	9	1	9
8	10	0	1
8	10	0	2
8	10	0.250075	3
8	10	0.839883	4
8	10	0.99033	5
8	10	0.980035	6
8	10	1	7
8	10	1	8
8	10	1	9
8	10	1	10
9	2	0	1
9	2	0.882976	2
9	3	0	1
9	3	0.688733	2
9	3	0.979485	3
9	4	0	1
9	4	0.453407	2
9	4	0.927099	3
9	4	1	4
9	5	0	1
9	5	0.219605	2
9	5	0.91603	3
9	5	0.989882	4
9	5	1	5
9	6	0	1
9	6	0.0826220000000001	2
9	6	0.647412	3
9	6	0.96864	4
9	6	1	5
9	6	1	6
9	7	0	1
9	7	0.052233	2
9	7	0.716296	3
9	7	1	4
9	7	0.990086	5
9	7	1	6
9	7	1	7
9	8	0	1
9	8	0.0103569999999999	2
9	8	0.518705	3
9	8	0.888036	4
9	8	1	5
9	8	1	6
9	8	1	7
9	8	1	8
9	9	0	1
9	9	0	2
9	9	0.467136	3
9	9	0.899439	4
9	9	0.968998	5
9	9	1	6
9	9	1	7
9	9	1	8
9	9	1	9
9	10	0	1
9	10	0	2
9	10	0.347906	3
9	10	0.821029	4
9	10	0.980807	5
9	10	1	6
9	10	1	7
9	10	1	8
9	10	1	9
9	10	1	10
