choices	trials	confidence	RfA
6	2	1	-1
6	2	0.99	-1
6	2	0.98	-1
6	2	0.97	-1
6	2	0.96	-1
6	2	0.95	-1
6	2	0.94	-1
6	2	0.93	-1
6	2	0.92	-1
6	2	0.91	-1
6	2	0.9	2
6	2	0.89	-1
6	2	0.88	-1
6	2	0.87	-1
6	2	0.86	-1
6	2	0.85	2
6	2	0.84	-1
6	2	0.83	2
6	2	0.82	-1
6	2	0.81	2
6	2	0.8	2
6	3	1	-1
6	3	0.99	-1
6	3	0.98	-1
6	3	0.97	-1
6	3	0.96	-1
6	3	0.95	3
6	3	0.94	3
6	3	0.93	3
6	3	0.92	3
6	3	0.91	3
6	3	0.9	3
6	3	0.89	3
6	3	0.88	3
6	3	0.87	3
6	3	0.86	3
6	3	0.85	3
6	3	0.84	3
6	3	0.83	3
6	3	0.82	3
6	3	0.81	3
6	3	0.8	3
6	4	1	4
6	4	0.99	4
6	4	0.98	4
6	4	0.97	4
6	4	0.96	4
6	4	0.95	4
6	4	0.94	3
6	4	0.93	4
6	4	0.92	3
6	4	0.91	3
6	4	0.9	3
6	4	0.89	3
6	4	0.88	3
6	4	0.87	3
6	4	0.86	4
6	4	0.85	3
6	4	0.84	3
6	4	0.83	3
6	4	0.82	3
6	4	0.81	3
6	4	0.8	3
6	5	1	5
6	5	0.99	5
6	5	0.98	5
6	5	0.97	4
6	5	0.96	4
6	5	0.95	5
6	5	0.94	4
6	5	0.93	4
6	5	0.92	4
6	5	0.91	4
6	5	0.9	4
6	5	0.89	4
6	5	0.88	4
6	5	0.87	4
6	5	0.86	4
6	5	0.85	4
6	5	0.84	4
6	5	0.83	4
6	5	0.82	3
6	5	0.81	3
6	5	0.8	4
6	6	1	-1
6	6	0.99	6
6	6	0.98	5
6	6	0.97	5
6	6	0.96	4
6	6	0.95	5
6	6	0.94	5
6	6	0.93	4
6	6	0.92	4
6	6	0.91	5
6	6	0.9	4
6	6	0.89	4
6	6	0.88	4
6	6	0.87	4
6	6	0.86	4
6	6	0.85	4
6	6	0.84	4
6	6	0.83	4
6	6	0.82	4
6	6	0.81	4
6	6	0.8	4
6	7	1	-1
6	7	0.99	5
6	7	0.98	5
6	7	0.97	6
6	7	0.96	5
6	7	0.95	4
6	7	0.94	5
6	7	0.93	5
6	7	0.92	5
6	7	0.91	5
6	7	0.9	4
6	7	0.89	4
6	7	0.88	4
6	7	0.87	4
6	7	0.86	4
6	7	0.85	4
6	7	0.84	4
6	7	0.83	4
6	7	0.82	4
6	7	0.81	4
6	7	0.8	4
6	8	1	7
6	8	0.99	6
6	8	0.98	6
6	8	0.97	6
6	8	0.96	5
6	8	0.95	5
6	8	0.94	5
6	8	0.93	5
6	8	0.92	5
6	8	0.91	5
6	8	0.9	5
6	8	0.89	5
6	8	0.88	5
6	8	0.87	5
6	8	0.86	5
6	8	0.85	5
6	8	0.84	4
6	8	0.83	5
6	8	0.82	5
6	8	0.81	4
6	8	0.8	5
6	9	1	-1
6	9	0.99	6
6	9	0.98	6
6	9	0.97	6
6	9	0.96	5
6	9	0.95	5
6	9	0.94	5
6	9	0.93	6
6	9	0.92	5
6	9	0.91	5
6	9	0.9	5
6	9	0.89	5
6	9	0.88	5
6	9	0.87	5
6	9	0.86	5
6	9	0.85	5
6	9	0.84	5
6	9	0.83	5
6	9	0.82	5
6	9	0.81	5
6	9	0.8	5
6	10	1	-1
6	10	0.99	6
6	10	0.98	6
6	10	0.97	7
6	10	0.96	6
6	10	0.95	6
6	10	0.94	6
6	10	0.93	6
6	10	0.92	5
6	10	0.91	6
6	10	0.9	6
6	10	0.89	5
6	10	0.88	5
6	10	0.87	5
6	10	0.86	5
6	10	0.85	6
6	10	0.84	5
6	10	0.83	5
6	10	0.82	5
6	10	0.81	5
6	10	0.8	5
6	11	1	-1
6	11	0.99	7
6	11	0.98	7
6	11	0.97	6
6	11	0.96	6
6	11	0.95	6
6	11	0.94	6
6	11	0.93	6
6	11	0.92	6
6	11	0.91	6
6	11	0.9	6
6	11	0.89	6
6	11	0.88	5
6	11	0.87	6
6	11	0.86	5
6	11	0.85	6
6	11	0.84	6
6	11	0.83	6
6	11	0.82	5
6	11	0.81	5
6	11	0.8	5
6	12	1	7
6	12	0.99	8
6	12	0.98	7
6	12	0.97	7
6	12	0.96	7
6	12	0.95	6
6	12	0.94	6
6	12	0.93	6
6	12	0.92	6
6	12	0.91	6
6	12	0.9	6
6	12	0.89	6
6	12	0.88	6
6	12	0.87	6
6	12	0.86	6
6	12	0.85	6
6	12	0.84	6
6	12	0.83	5
6	12	0.82	6
6	12	0.81	5
6	12	0.8	5
6	13	1	8
6	13	0.99	8
6	13	0.98	8
6	13	0.97	7
6	13	0.96	7
6	13	0.95	7
6	13	0.94	7
6	13	0.93	6
6	13	0.92	6
6	13	0.91	7
6	13	0.9	6
6	13	0.89	6
6	13	0.88	6
6	13	0.87	6
6	13	0.86	6
6	13	0.85	6
6	13	0.84	6
6	13	0.83	6
6	13	0.82	6
6	13	0.81	6
6	13	0.8	6
6	14	1	-1
6	14	0.99	8
6	14	0.98	8
6	14	0.97	7
6	14	0.96	7
6	14	0.95	7
6	14	0.94	7
6	14	0.93	7
6	14	0.92	7
6	14	0.91	7
6	14	0.9	6
6	14	0.89	7
6	14	0.88	7
6	14	0.87	6
6	14	0.86	6
6	14	0.85	7
6	14	0.84	6
6	14	0.83	6
6	14	0.82	6
6	14	0.81	6
6	14	0.8	6
6	15	1	8
6	15	0.99	8
6	15	0.98	9
6	15	0.97	7
6	15	0.96	7
6	15	0.95	7
6	15	0.94	7
6	15	0.93	7
6	15	0.92	7
6	15	0.91	7
6	15	0.9	7
6	15	0.89	6
6	15	0.88	7
6	15	0.87	7
6	15	0.86	6
6	15	0.85	7
6	15	0.84	7
6	15	0.83	6
6	15	0.82	6
6	15	0.81	6
6	15	0.8	6
7	2	1	-1
7	2	0.99	-1
7	2	0.98	-1
7	2	0.97	-1
7	2	0.96	-1
7	2	0.95	-1
7	2	0.94	-1
7	2	0.93	-1
7	2	0.92	-1
7	2	0.91	-1
7	2	0.9	-1
7	2	0.89	-1
7	2	0.88	-1
7	2	0.87	-1
7	2	0.86	2
7	2	0.85	2
7	2	0.84	2
7	2	0.83	-1
7	2	0.82	2
7	2	0.81	2
7	2	0.8	2
7	3	1	-1
7	3	0.99	-1
7	3	0.98	-1
7	3	0.97	3
7	3	0.96	-1
7	3	0.95	3
